gender;race/ethnicity;parental level of education;lunch;test preparation course;test prep course;math score;reading score;writing score;math;reading;writing;math grade;reading grade;writing grade
male;group D;bachelor's degree;free/reduced;completed;1;74;71;80;70-79;70-79;80-89;C;C;B
male;group A;master's degree;free/reduced;none;0;73;74;72;70-79;70-79;70-79;C;C;C
male;group B;some college;standard;none;0;69;54;55;60-69;0-59;0-59;D;F;F
female;group C;bachelor's degree;standard;none;0;67;69;75;60-69;60-69;70-79;D;D;C
male;group C;high school;standard;none;0;70;70;65;70-79;70-79;60-69;C;C;D
female;group D;master's degree;standard;none;0;62;70;75;60-69;70-79;70-79;D;C;C
female;group D;some college;standard;none;0;69;74;74;60-69;70-79;70-79;D;C;C
female;group B;some college;standard;none;0;63;65;61;60-69;60-69;60-69;D;D;D
female;group E;master's degree;free/reduced;none;0;56;72;65;0-59;70-79;60-69;F;C;D
male;group D;some college;standard;none;0;40;42;38;0-59;0-59;0-59;F;F;F
male;group E;some college;standard;none;0;97;87;82;90-100;80-89;80-89;A;B;B
male;group E;associate's degree;standard;completed;1;81;81;79;80-89;80-89;70-79;B;B;C
female;group D;associate's degree;standard;none;0;74;81;83;70-79;80-89;80-89;C;B;B
female;group D;some high school;free/reduced;none;0;50;64;59;0-59;60-69;0-59;F;D;F
female;group D;associate's degree;free/reduced;completed;1;75;90;88;70-79;90-100;80-89;C;A;B
male;group B;associate's degree;free/reduced;none;0;57;56;57;0-59;0-59;0-59;F;F;F
male;group C;associate's degree;free/reduced;none;0;55;61;54;0-59;60-69;0-59;F;D;F
female;group C;associate's degree;standard;none;0;58;73;68;0-59;70-79;60-69;F;C;D
female;group B;associate's degree;standard;none;0;53;58;65;0-59;0-59;60-69;F;F;D
male;group B;some college;free/reduced;completed;1;59;65;66;0-59;60-69;60-69;F;D;D
female;group E;associate's degree;free/reduced;none;0;50;56;54;0-59;0-59;0-59;F;F;F
male;group B;associate's degree;standard;none;0;65;54;57;60-69;0-59;0-59;D;F;F
female;group A;associate's degree;standard;completed;1;55;65;62;0-59;60-69;60-69;F;D;D
female;group C;high school;standard;none;0;66;71;76;60-69;70-79;70-79;D;C;C
female;group D;associate's degree;free/reduced;completed;1;57;74;76;0-59;70-79;70-79;F;C;C
male;group C;high school;standard;completed;1;82;84;82;80-89;80-89;80-89;B;B;B
male;group E;some college;standard;none;0;53;55;48;0-59;0-59;0-59;F;F;F
male;group E;associate's degree;free/reduced;completed;1;77;69;68;70-79;60-69;60-69;C;D;D
male;group C;some college;standard;none;0;53;44;42;0-59;0-59;0-59;F;F;F
male;group D;high school;standard;none;0;88;78;75;80-89;70-79;70-79;B;C;C
female;group C;some high school;free/reduced;completed;1;71;84;87;70-79;80-89;80-89;C;B;B
female;group C;high school;free/reduced;none;0;33;41;43;0-59;0-59;0-59;F;F;F
female;group E;associate's degree;standard;completed;1;82;85;86;80-89;80-89;80-89;B;B;B
male;group D;associate's degree;standard;none;0;52;55;49;0-59;0-59;0-59;F;F;F
male;group D;some college;standard;completed;1;58;59;58;0-59;0-59;0-59;F;F;F
female;group C;some high school;free/reduced;none;0;0;17;10;0-59;0-59;0-59;F;F;F
male;group E;bachelor's degree;free/reduced;completed;1;79;74;72;70-79;70-79;70-79;C;C;C
male;group A;some high school;free/reduced;none;0;39;39;34;0-59;0-59;0-59;F;F;F
male;group A;associate's degree;free/reduced;none;0;62;61;55;60-69;60-69;0-59;D;D;F
female;group C;associate's degree;standard;none;0;69;80;71;60-69;80-89;70-79;D;B;C
female;group D;some high school;standard;none;0;59;58;59;0-59;0-59;0-59;F;F;F
male;group B;some high school;standard;none;0;67;64;61;60-69;60-69;60-69;D;D;D
male;group D;some high school;free/reduced;none;0;45;37;37;0-59;0-59;0-59;F;F;F
female;group C;some college;standard;none;0;60;72;74;60-69;70-79;70-79;D;C;C
male;group B;associate's degree;free/reduced;none;0;61;58;56;60-69;0-59;0-59;D;F;F
female;group C;associate's degree;standard;none;0;39;64;57;0-59;60-69;0-59;F;D;F
female;group D;some college;free/reduced;completed;1;58;63;73;0-59;60-69;70-79;F;D;C
male;group D;some college;standard;completed;1;63;55;63;60-69;0-59;60-69;D;F;D
female;group A;associate's degree;free/reduced;none;0;41;51;48;0-59;0-59;0-59;F;F;F
male;group C;some high school;free/reduced;none;0;61;57;56;60-69;0-59;0-59;D;F;F
male;group C;some high school;standard;none;0;49;49;41;0-59;0-59;0-59;F;F;F
male;group B;associate's degree;free/reduced;none;0;44;41;38;0-59;0-59;0-59;F;F;F
male;group E;some high school;standard;none;0;30;26;22;0-59;0-59;0-59;F;F;F
male;group A;bachelor's degree;standard;completed;1;80;78;81;80-89;70-79;80-89;B;C;B
female;group D;some high school;standard;completed;1;61;74;72;60-69;70-79;70-79;D;C;C
female;group E;master's degree;standard;none;0;62;68;68;60-69;60-69;60-69;D;D;D
female;group B;associate's degree;standard;none;0;47;49;50;0-59;0-59;0-59;F;F;F
male;group B;high school;free/reduced;none;0;49;45;45;0-59;0-59;0-59;F;F;F
male;group A;some college;free/reduced;completed;1;50;47;54;0-59;0-59;0-59;F;F;F
male;group E;associate's degree;standard;none;0;72;64;63;70-79;60-69;60-69;C;D;D
male;group D;high school;free/reduced;none;0;42;39;34;0-59;0-59;0-59;F;F;F
female;group C;some college;standard;none;0;73;80;82;70-79;80-89;80-89;C;B;B
female;group C;some college;free/reduced;none;0;76;83;88;70-79;80-89;80-89;C;B;B
female;group D;associate's degree;standard;none;0;71;71;74;70-79;70-79;70-79;C;C;C
female;group A;some college;standard;none;0;58;70;67;0-59;70-79;60-69;F;C;D
female;group D;some high school;standard;none;0;73;86;82;70-79;80-89;80-89;C;B;B
female;group C;bachelor's degree;standard;none;0;65;72;74;60-69;70-79;70-79;D;C;C
male;group C;high school;free/reduced;none;0;27;34;36;0-59;0-59;0-59;F;F;F
male;group C;high school;standard;none;0;71;79;71;70-79;70-79;70-79;C;C;C
male;group C;associate's degree;free/reduced;completed;1;43;45;50;0-59;0-59;0-59;F;F;F
female;group B;some college;standard;none;0;79;86;92;70-79;80-89;90-100;C;B;A
male;group C;associate's degree;free/reduced;completed;1;78;81;82;70-79;80-89;80-89;C;B;B
male;group B;some high school;standard;completed;1;65;66;62;60-69;60-69;60-69;D;D;D
female;group E;some college;standard;completed;1;63;72;70;60-69;70-79;70-79;D;C;C
female;group D;some college;free/reduced;none;0;58;67;62;0-59;60-69;60-69;F;D;D
female;group D;bachelor's degree;standard;none;0;65;67;62;60-69;60-69;60-69;D;D;D
male;group B;some college;standard;none;0;79;67;67;70-79;60-69;60-69;C;D;D
male;group D;bachelor's degree;standard;completed;1;68;74;74;60-69;70-79;70-79;D;C;C
female;group D;associate's degree;standard;none;0;85;91;89;80-89;90-100;80-89;B;A;B
male;group B;high school;standard;completed;1;60;44;47;60-69;0-59;0-59;D;F;F
male;group C;some college;standard;completed;1;98;86;90;90-100;80-89;90-100;A;B;A
female;group C;some college;standard;none;0;58;67;72;0-59;60-69;70-79;F;D;C
female;group D;master's degree;standard;none;0;87;100;100;80-89;90-100;90-100;B;A;A
male;group E;associate's degree;standard;completed;1;66;63;64;60-69;60-69;60-69;D;D;D
female;group B;associate's degree;free/reduced;none;0;52;76;70;0-59;70-79;70-79;F;C;C
female;group B;some high school;standard;none;0;70;64;72;70-79;60-69;70-79;C;D;C
female;group D;associate's degree;free/reduced;completed;1;77;89;98;70-79;80-89;90-100;C;B;A
male;group C;high school;standard;none;0;62;55;49;60-69;0-59;0-59;D;F;F
male;group A;associate's degree;standard;none;0;54;53;47;0-59;0-59;0-59;F;F;F
female;group D;some college;standard;none;0;51;58;54;0-59;0-59;0-59;F;F;F
female;group E;bachelor's degree;standard;completed;1;99;100;100;90-100;90-100;90-100;A;A;A
male;group C;high school;standard;none;0;84;77;74;80-89;70-79;70-79;B;C;C
female;group B;bachelor's degree;free/reduced;none;0;75;85;82;70-79;80-89;80-89;C;B;B
female;group D;bachelor's degree;standard;none;0;78;82;79;70-79;80-89;70-79;C;B;C
female;group D;some high school;standard;none;0;51;63;61;0-59;60-69;60-69;F;D;D
female;group C;some college;standard;none;0;55;69;65;0-59;60-69;60-69;F;D;D
female;group C;bachelor's degree;standard;completed;1;79;92;89;70-79;90-100;80-89;C;A;B
male;group B;associate's degree;standard;completed;1;91;89;92;90-100;80-89;90-100;A;B;A
female;group C;some college;standard;completed;1;88;93;93;80-89;90-100;90-100;B;A;A
male;group D;high school;free/reduced;none;0;63;57;56;60-69;0-59;0-59;D;F;F
male;group E;some college;standard;none;0;83;80;73;80-89;80-89;70-79;B;B;C
female;group B;high school;standard;none;0;87;95;86;80-89;90-100;80-89;B;A;B
male;group B;some high school;standard;none;0;72;68;67;70-79;60-69;60-69;C;D;D
male;group D;some college;standard;completed;1;65;77;74;60-69;70-79;70-79;D;C;C
male;group D;master's degree;standard;none;0;82;82;74;80-89;80-89;70-79;B;B;C
female;group A;bachelor's degree;standard;none;0;51;49;51;0-59;0-59;0-59;F;F;F
male;group D;master's degree;standard;none;0;89;84;82;80-89;80-89;80-89;B;B;B
male;group C;some high school;free/reduced;completed;1;53;37;40;0-59;0-59;0-59;F;F;F
male;group E;some college;free/reduced;completed;1;87;74;70;80-89;70-79;70-79;B;C;C
female;group C;some college;standard;completed;1;75;81;84;70-79;80-89;80-89;C;B;B
male;group D;bachelor's degree;free/reduced;completed;1;74;79;75;70-79;70-79;70-79;C;C;C
male;group C;bachelor's degree;standard;none;0;58;55;48;0-59;0-59;0-59;F;F;F
male;group B;some high school;standard;completed;1;51;54;41;0-59;0-59;0-59;F;F;F
male;group E;high school;standard;none;0;70;55;56;70-79;0-59;0-59;C;F;F
female;group C;associate's degree;standard;none;0;59;66;67;0-59;60-69;60-69;F;D;D
male;group D;some college;standard;completed;1;71;61;69;70-79;60-69;60-69;C;D;D
female;group D;some high school;standard;none;0;76;72;71;70-79;70-79;70-79;C;C;C
female;group C;some college;free/reduced;none;0;59;62;64;0-59;60-69;60-69;F;D;D
female;group E;some college;free/reduced;completed;1;42;55;54;0-59;0-59;0-59;F;F;F
male;group A;high school;standard;none;0;57;43;47;0-59;0-59;0-59;F;F;F
male;group D;some college;standard;none;0;88;73;78;80-89;70-79;70-79;B;C;C
female;group C;some college;free/reduced;none;0;22;39;33;0-59;0-59;0-59;F;F;F
male;group B;some high school;standard;none;0;88;84;75;80-89;80-89;70-79;B;B;C
male;group C;associate's degree;free/reduced;none;0;73;68;66;70-79;60-69;60-69;C;D;D
female;group D;bachelor's degree;standard;completed;1;68;75;81;60-69;70-79;80-89;D;C;B
male;group E;associate's degree;free/reduced;completed;1;100;100;93;90-100;90-100;90-100;A;A;A
male;group A;some high school;standard;completed;1;62;67;69;60-69;60-69;60-69;D;D;D
male;group A;bachelor's degree;standard;none;0;77;67;68;70-79;60-69;60-69;C;D;D
female;group B;associate's degree;standard;completed;1;59;70;66;0-59;70-79;60-69;F;C;D
male;group D;bachelor's degree;standard;none;0;54;49;47;0-59;0-59;0-59;F;F;F
male;group D;some high school;standard;none;0;62;67;61;60-69;60-69;60-69;D;D;D
female;group C;some college;standard;completed;1;70;89;88;70-79;80-89;80-89;C;B;B
female;group E;high school;free/reduced;completed;1;66;74;78;60-69;70-79;70-79;D;C;C
male;group B;some college;free/reduced;none;0;60;60;60;60-69;60-69;60-69;D;D;D
female;group B;associate's degree;standard;completed;1;61;86;87;60-69;80-89;80-89;D;B;B
male;group D;associate's degree;free/reduced;none;0;66;62;64;60-69;60-69;60-69;D;D;D
male;group B;associate's degree;free/reduced;completed;1;82;78;74;80-89;70-79;70-79;B;C;C
female;group E;some college;free/reduced;completed;1;75;88;85;70-79;80-89;80-89;C;B;B
male;group B;master's degree;free/reduced;none;0;49;53;52;0-59;0-59;0-59;F;F;F
male;group C;high school;standard;none;0;52;53;49;0-59;0-59;0-59;F;F;F
female;group E;master's degree;standard;none;0;81;92;91;80-89;90-100;90-100;B;A;A
female;group C;bachelor's degree;standard;completed;1;96;100;100;90-100;90-100;90-100;A;A;A
male;group C;high school;free/reduced;completed;1;53;51;51;0-59;0-59;0-59;F;F;F
female;group B;master's degree;free/reduced;completed;1;58;76;78;0-59;70-79;70-79;F;C;C
female;group B;high school;standard;completed;1;68;83;78;60-69;80-89;70-79;D;B;C
female;group C;some college;free/reduced;completed;1;67;75;70;60-69;70-79;70-79;D;C;C
male;group A;high school;standard;completed;1;72;73;74;70-79;70-79;70-79;C;C;C
male;group E;some high school;standard;none;0;94;88;78;90-100;80-89;70-79;A;B;C
female;group D;some college;standard;none;0;79;86;81;70-79;80-89;80-89;C;B;B
female;group C;associate's degree;standard;none;0;63;67;70;60-69;60-69;70-79;D;D;C
female;group C;bachelor's degree;free/reduced;completed;1;43;51;54;0-59;0-59;0-59;F;F;F
female;group C;master's degree;standard;completed;1;81;91;87;80-89;90-100;80-89;B;A;B
female;group B;high school;free/reduced;completed;1;46;54;58;0-59;0-59;0-59;F;F;F
female;group C;associate's degree;standard;completed;1;71;77;77;70-79;70-79;70-79;C;C;C
female;group B;master's degree;free/reduced;completed;1;52;70;62;0-59;70-79;60-69;F;C;D
female;group D;some high school;standard;completed;1;97;100;100;90-100;90-100;90-100;A;A;A
male;group C;master's degree;free/reduced;completed;1;62;68;75;60-69;60-69;70-79;D;D;C
female;group C;some college;free/reduced;none;0;46;64;66;0-59;60-69;60-69;F;D;D
female;group E;high school;standard;none;0;50;50;47;0-59;0-59;0-59;F;F;F
female;group D;associate's degree;standard;none;0;65;69;70;60-69;60-69;70-79;D;D;C
male;group C;some high school;free/reduced;completed;1;45;52;49;0-59;0-59;0-59;F;F;F
male;group C;associate's degree;free/reduced;completed;1;65;67;65;60-69;60-69;60-69;D;D;D
male;group E;high school;standard;none;0;80;76;65;80-89;70-79;60-69;B;C;D
male;group D;some high school;standard;completed;1;62;66;68;60-69;60-69;60-69;D;D;D
male;group B;some high school;free/reduced;none;0;48;52;45;0-59;0-59;0-59;F;F;F
female;group C;bachelor's degree;standard;none;0;77;88;87;70-79;80-89;80-89;C;B;B
female;group E;associate's degree;standard;none;0;66;65;69;60-69;60-69;60-69;D;D;D
male;group D;some college;standard;completed;1;76;83;79;70-79;80-89;70-79;C;B;C
female;group B;some high school;standard;none;0;62;64;66;60-69;60-69;60-69;D;D;D
male;group D;some college;standard;completed;1;77;62;62;70-79;60-69;60-69;C;D;D
female;group C;master's degree;standard;completed;1;69;84;85;60-69;80-89;80-89;D;B;B
male;group D;associate's degree;standard;none;0;61;55;52;60-69;0-59;0-59;D;F;F
male;group C;some high school;free/reduced;completed;1;59;69;65;0-59;60-69;60-69;F;D;D
male;group E;high school;free/reduced;none;0;55;56;51;0-59;0-59;0-59;F;F;F
female;group B;some college;free/reduced;none;0;45;53;55;0-59;0-59;0-59;F;F;F
female;group B;bachelor's degree;free/reduced;none;0;78;79;76;70-79;70-79;70-79;C;C;C
female;group C;associate's degree;standard;completed;1;67;84;86;60-69;80-89;80-89;D;B;B
female;group D;some college;free/reduced;none;0;65;81;77;60-69;80-89;70-79;D;B;C
male;group C;associate's degree;standard;none;0;69;77;69;60-69;70-79;60-69;D;C;D
female;group B;associate's degree;standard;none;0;57;69;68;0-59;60-69;60-69;F;D;D
male;group C;some college;standard;none;0;59;41;42;0-59;0-59;0-59;F;F;F
male;group D;some high school;standard;completed;1;74;71;78;70-79;70-79;70-79;C;C;C
male;group E;bachelor's degree;standard;none;0;82;62;62;80-89;60-69;60-69;B;D;D
male;group E;high school;standard;completed;1;81;80;76;80-89;80-89;70-79;B;B;C
female;group B;some college;free/reduced;none;0;74;81;76;70-79;80-89;70-79;C;B;C
female;group B;some college;free/reduced;none;0;58;61;66;0-59;60-69;60-69;F;D;D
male;group D;some high school;free/reduced;completed;1;80;79;79;80-89;70-79;70-79;B;C;C
male;group C;some college;free/reduced;none;0;35;28;27;0-59;0-59;0-59;F;F;F
female;group C;high school;free/reduced;none;0;42;62;60;0-59;60-69;60-69;F;D;D
male;group C;associate's degree;free/reduced;completed;1;60;51;56;60-69;0-59;0-59;D;F;F
male;group E;high school;standard;completed;1;87;91;81;80-89;90-100;80-89;B;A;B
male;group B;some high school;standard;completed;1;84;83;75;80-89;80-89;70-79;B;B;C
female;group E;associate's degree;free/reduced;completed;1;83;86;88;80-89;80-89;80-89;B;B;B
female;group C;high school;free/reduced;none;0;34;42;39;0-59;0-59;0-59;F;F;F
male;group B;high school;free/reduced;none;0;66;77;70;60-69;70-79;70-79;D;C;C
male;group B;some high school;standard;completed;1;61;56;56;60-69;0-59;0-59;D;F;F
female;group D;high school;standard;completed;1;56;68;74;0-59;60-69;70-79;F;D;C
male;group B;associate's degree;standard;none;0;87;85;73;80-89;80-89;70-79;B;B;C
female;group C;some high school;free/reduced;none;0;55;65;62;0-59;60-69;60-69;F;D;D
male;group D;some high school;standard;none;0;86;80;75;80-89;80-89;70-79;B;B;C
female;group B;associate's degree;standard;completed;1;52;66;73;0-59;60-69;70-79;F;D;C
female;group E;master's degree;free/reduced;none;0;45;56;54;0-59;0-59;0-59;F;F;F
female;group C;some college;standard;none;0;72;72;71;70-79;70-79;70-79;C;C;C
male;group D;high school;standard;none;0;57;50;54;0-59;0-59;0-59;F;F;F
male;group A;some high school;free/reduced;none;0;68;72;64;60-69;70-79;60-69;D;C;D
female;group C;some college;standard;completed;1;88;95;94;80-89;90-100;90-100;B;A;A
male;group D;some college;standard;none;0;76;64;66;70-79;60-69;60-69;C;D;D
male;group C;associate's degree;standard;none;0;46;43;42;0-59;0-59;0-59;F;F;F
female;group B;bachelor's degree;standard;none;0;67;86;83;60-69;80-89;80-89;D;B;B
male;group E;some high school;standard;none;0;92;87;78;90-100;80-89;70-79;A;B;C
male;group C;bachelor's degree;standard;completed;1;83;82;84;80-89;80-89;80-89;B;B;B
male;group D;associate's degree;standard;none;0;80;75;77;80-89;70-79;70-79;B;C;C
male;group D;bachelor's degree;free/reduced;none;0;63;66;67;60-69;60-69;60-69;D;D;D
female;group D;some high school;standard;completed;1;64;60;74;60-69;60-69;70-79;D;D;C
male;group B;some college;standard;none;0;54;52;51;0-59;0-59;0-59;F;F;F
male;group C;associate's degree;standard;none;0;84;80;80;80-89;80-89;80-89;B;B;B
male;group D;high school;free/reduced;completed;1;73;68;66;70-79;60-69;60-69;C;D;D
female;group E;bachelor's degree;standard;none;0;80;83;83;80-89;80-89;80-89;B;B;B
female;group D;high school;standard;none;0;56;52;55;0-59;0-59;0-59;F;F;F
male;group E;some college;standard;none;0;59;51;43;0-59;0-59;0-59;F;F;F
male;group D;some high school;standard;none;0;75;74;69;70-79;70-79;60-69;C;C;D
male;group C;associate's degree;standard;none;0;85;76;71;80-89;70-79;70-79;B;C;C
male;group E;associate's degree;standard;none;0;89;76;74;80-89;70-79;70-79;B;C;C
female;group B;high school;standard;completed;1;58;70;68;0-59;70-79;60-69;F;C;D
female;group B;high school;standard;none;0;65;64;62;60-69;60-69;60-69;D;D;D
male;group C;high school;standard;none;0;68;60;53;60-69;60-69;0-59;D;D;F
male;group A;some high school;standard;completed;1;47;49;49;0-59;0-59;0-59;F;F;F
female;group D;some college;free/reduced;none;0;71;83;83;70-79;80-89;80-89;C;B;B
female;group B;some high school;standard;completed;1;60;70;70;60-69;70-79;70-79;D;C;C
male;group D;master's degree;standard;none;0;80;80;72;80-89;80-89;70-79;B;B;C
male;group D;high school;standard;none;0;54;52;52;0-59;0-59;0-59;F;F;F
female;group E;some college;standard;none;0;62;73;70;60-69;70-79;70-79;D;C;C
female;group C;associate's degree;free/reduced;none;0;64;73;68;60-69;70-79;60-69;D;C;D
male;group C;associate's degree;standard;completed;1;78;77;77;70-79;70-79;70-79;C;C;C
female;group B;some college;standard;none;0;70;75;78;70-79;70-79;70-79;C;C;C
female;group C;master's degree;free/reduced;completed;1;65;81;81;60-69;80-89;80-89;D;B;B
female;group C;some high school;free/reduced;completed;1;64;79;77;60-69;70-79;70-79;D;C;C
male;group C;some college;standard;completed;1;79;79;78;70-79;70-79;70-79;C;C;C
female;group C;some high school;free/reduced;none;0;44;50;51;0-59;0-59;0-59;F;F;F
female;group E;high school;standard;none;0;99;93;90;90-100;90-100;90-100;A;A;A
male;group D;high school;standard;none;0;76;73;68;70-79;70-79;60-69;C;C;D
male;group D;some high school;free/reduced;none;0;59;42;41;0-59;0-59;0-59;F;F;F
female;group C;bachelor's degree;standard;none;0;63;75;81;60-69;70-79;80-89;D;C;B
female;group D;high school;standard;none;0;69;72;77;60-69;70-79;70-79;D;C;C
female;group D;associate's degree;standard;completed;1;88;92;95;80-89;90-100;90-100;B;A;A
female;group E;some college;free/reduced;none;0;71;76;70;70-79;70-79;70-79;C;C;C
male;group C;bachelor's degree;standard;none;0;69;63;61;60-69;60-69;60-69;D;D;D
male;group C;some college;standard;none;0;58;49;42;0-59;0-59;0-59;F;F;F
female;group D;associate's degree;free/reduced;none;0;47;53;58;0-59;0-59;0-59;F;F;F
female;group D;some college;standard;none;0;65;70;71;60-69;70-79;70-79;D;C;C
male;group B;some college;standard;completed;1;88;85;76;80-89;80-89;70-79;B;B;C
male;group C;bachelor's degree;standard;none;0;83;78;73;80-89;70-79;70-79;B;C;C
female;group C;some high school;standard;completed;1;85;92;93;80-89;90-100;90-100;B;A;A
female;group E;high school;standard;completed;1;59;63;75;0-59;60-69;70-79;F;D;C
female;group C;some high school;free/reduced;none;0;65;86;80;60-69;80-89;80-89;D;B;B
male;group B;bachelor's degree;free/reduced;none;0;73;56;57;70-79;0-59;0-59;C;F;F
male;group D;high school;standard;none;0;53;52;42;0-59;0-59;0-59;F;F;F
male;group D;high school;standard;none;0;45;48;46;0-59;0-59;0-59;F;F;F
female;group D;bachelor's degree;free/reduced;none;0;73;79;84;70-79;70-79;80-89;C;C;B
female;group D;some college;free/reduced;completed;1;70;78;78;70-79;70-79;70-79;C;C;C
female;group B;some high school;standard;none;0;37;46;46;0-59;0-59;0-59;F;F;F
male;group B;associate's degree;standard;completed;1;81;82;82;80-89;80-89;80-89;B;B;B
male;group E;associate's degree;standard;completed;1;97;82;88;90-100;80-89;80-89;A;B;B
female;group B;some high school;standard;none;0;67;89;82;60-69;80-89;80-89;D;B;B
male;group B;bachelor's degree;free/reduced;none;0;88;75;76;80-89;70-79;70-79;B;C;C
male;group E;some high school;standard;completed;1;77;76;77;70-79;70-79;70-79;C;C;C
male;group C;associate's degree;standard;none;0;76;70;68;70-79;70-79;60-69;C;C;D
male;group D;some high school;standard;none;0;86;73;70;80-89;70-79;70-79;B;C;C
male;group C;some high school;standard;completed;1;63;60;57;60-69;60-69;0-59;D;D;F
female;group E;bachelor's degree;standard;none;0;65;73;75;60-69;70-79;70-79;D;C;C
male;group D;high school;free/reduced;completed;1;78;77;80;70-79;70-79;80-89;C;C;B
male;group B;associate's degree;free/reduced;none;0;67;62;60;60-69;60-69;60-69;D;D;D
male;group A;some high school;standard;completed;1;46;41;43;0-59;0-59;0-59;F;F;F
male;group E;associate's degree;standard;completed;1;71;74;68;70-79;70-79;60-69;C;C;D
male;group C;high school;free/reduced;completed;1;40;46;50;0-59;0-59;0-59;F;F;F
male;group D;associate's degree;free/reduced;none;0;90;87;75;90-100;80-89;70-79;A;B;C
male;group A;some college;free/reduced;completed;1;81;78;81;80-89;70-79;80-89;B;C;B
male;group D;some high school;free/reduced;none;0;56;54;52;0-59;0-59;0-59;F;F;F
female;group C;associate's degree;standard;completed;1;67;84;81;60-69;80-89;80-89;D;B;B
male;group B;associate's degree;standard;none;0;80;76;64;80-89;70-79;60-69;B;C;D
female;group C;associate's degree;standard;completed;1;74;75;83;70-79;70-79;80-89;C;C;B
male;group A;some college;standard;none;0;69;67;69;60-69;60-69;60-69;D;D;D
male;group E;some college;standard;completed;1;99;87;81;90-100;80-89;80-89;A;B;B
male;group C;some high school;standard;none;0;51;52;44;0-59;0-59;0-59;F;F;F
female;group B;associate's degree;free/reduced;none;0;53;71;67;0-59;70-79;60-69;F;C;D
female;group D;high school;free/reduced;none;0;49;57;52;0-59;0-59;0-59;F;F;F
female;group B;associate's degree;standard;none;0;73;76;80;70-79;70-79;80-89;C;C;B
male;group B;bachelor's degree;standard;none;0;66;60;57;60-69;60-69;0-59;D;D;F
male;group D;bachelor's degree;standard;completed;1;67;61;68;60-69;60-69;60-69;D;D;D
female;group C;associate's degree;free/reduced;completed;1;68;67;69;60-69;60-69;60-69;D;D;D
female;group C;bachelor's degree;standard;completed;1;59;64;75;0-59;60-69;70-79;F;D;C
male;group C;high school;standard;none;0;71;66;65;70-79;60-69;60-69;C;D;D
female;group D;master's degree;standard;completed;1;77;82;91;70-79;80-89;90-100;C;B;A
male;group C;associate's degree;standard;none;0;83;72;78;80-89;70-79;70-79;B;C;C
male;group B;bachelor's degree;standard;none;0;63;71;69;60-69;70-79;60-69;D;C;D
female;group D;associate's degree;free/reduced;none;0;56;65;63;0-59;60-69;60-69;F;D;D
female;group C;high school;free/reduced;completed;1;67;79;84;60-69;70-79;80-89;D;C;B
female;group E;high school;standard;none;0;75;86;79;70-79;80-89;70-79;C;B;C
female;group C;some college;standard;none;0;71;81;80;70-79;80-89;80-89;C;B;B
female;group C;some high school;free/reduced;none;0;43;53;53;0-59;0-59;0-59;F;F;F
female;group C;high school;free/reduced;none;0;41;46;43;0-59;0-59;0-59;F;F;F
female;group C;some college;standard;none;0;82;90;94;80-89;90-100;90-100;B;A;A
male;group C;some college;standard;none;0;61;61;62;60-69;60-69;60-69;D;D;D
male;group A;some college;free/reduced;none;0;28;23;19;0-59;0-59;0-59;F;F;F
male;group C;associate's degree;standard;completed;1;82;75;77;80-89;70-79;70-79;B;C;C
female;group B;some high school;standard;none;0;41;55;51;0-59;0-59;0-59;F;F;F
